event,fd,roster
4557,"201,199","CS/Spider-Foes

[Characters]
- Bullseye: 2
- Carnage: 4
- Doctor Octopus: 3
- Green Goblin: 4
- Hood: 3
- Kingpin: 4
- Kraven the Hunter: 3
- Lizard: 3
- Mysterio: 3
- Venom: 4

[Team Tactics]
- All According to Plan
- Lethal Protector
- Medpack
- Monkey Brain is Lizard Home
- Neogenetic Recombinator
- Sacrifice
- Sinister Traps
- The Grand Illusion
- Well-Laid Plans
- X-Ceptional Healing

[Extract Crises]
- Deadly Legacy Virus Cured? [C]: 19
- Research Station Attacked! [E]: 16
- Spider-Infected Invade Manhattan [F]: 17

[Secure Crises]
- Infinity Formula Goes Missing [B]: 17
- Intrusions Open Across City As Seals Collapse [C]: 19
- Riots Spark Over Extremis 3.0 [D]: 17
"
4557,"191,193","[Characters]
- Black Cat: 3
- Black Panther: 4
- Corvus Glaive: 4
-- Infinity Gem: Reality: 1
- Doctor Voodoo: 4
- Ghost-Spider: 3
- Moon Knight: 3
- Proxima Midnight: 3
- Spider-Man Miles Morales: 3
- Thanos, the Mad Titan: 6
-- Infinity Gem: Mind: 1
-- Infinity Gem: Space: 1
- Toad: 2

[Team Tactics]
- Advanced R&D
- All Webbed Up
- Brace for Impact
- Disarm
- Marked For Death
- Medpack
- Mission Objective
- Mothership
- Sacrifice
- Spider-Tracker

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Mutant Extremists Target U.S. Senators! [C]: 14
- Skrulls Infiltrate World Leadership [C]: 17

[Secure Crises]
- Cosmic Invasion! Black Order Descends on Earth [D]: 16
- Infinity Formula Goes Missing [B]: 17
- Riots Spark Over Extremis 3.0 [D]: 17
"
4557,201,"Kingpin
Voodoo
Lizard
Black Cat
Crossbones
Hood
Mysterio
Luke Cage
Bullseye
Toad

Brace
Medpack
The Grand Illusion
Monkey Brain
Heroes for Hire
All According To Plan
Mission Objective
Climbing Gear
Disarm
Sacrifice

Infinity
Gamma
Extremis

Wakandan Herbs
Research Base
Legacy Virus

So much Copium it hurts.

"
4557,,"MS/DEF

Characters 10:
Threat: 37
*Doctor Strange Soul Threat: 6
Doctor Voodoo Threat: 4
*Blade Threat: 4
Ghost Rider Threat: 5
Iron Fist Threat: 3
Taskmaster Threat: 3
Moon Knight Threat: 3
Okoye Threat: 2
Daredevil Threat: 4
Hawkeye Threat: 3

Tactics 10:
Heroes for Hire
Field Dressing R
Brace for Impact R
Bats the Ghost Hound
Siege of Darkness
Blind Obsession
Deal with the Devil
Disarm
Pentagram of Farallah
Sacrifice

Secure Crisis:
Riots Spark Over Extremis 3.0 Threat: 17
Demons Downtown! Has Our Comeuppance Come Due? Threat: 19
Portals Overrun City with Spider-People! Threat: 18

Extract Crisis:
Skrulls Infiltrate World Leadership Threat: 17
Research Station Attacked! Threat: 16
The Montesi Formula Found Threat: 17
"
4557,195,"guardians of the fricken galaxy V3

Characters 10:
Threat: 34
*Star-Lord Threat: 3
Angela Threat: 5
Drax the Destroyer Threat: 3
Groot Threat: 3
Rocket Raccoon Threat: 2
Gamora Threat: 4
Okoye Threat: 2
Lizard Threat: 3
Deadpool Threat: 3
*Hulkbuster Threat: 6

Tactics 10:
Crew of the Milano
Deadly Duo
Lovable Misfits
Brace for Impact R
Blind Obsession
We Are Groot
Medpack R
X-Ceptional Healing
Climbing Gear
Helios Laser Bombardment

Secure Crisis:
Cosmic Invasion! Black Order Descends on Earth Threat: 16
Portals Overrun City with Spider-People! Threat: 18
Riots Spark Over Extremis 3.0 Threat: 17

Extract Crisis:
Spider-Infected Invade Manhattan Threat: 17
Struggle for the Cube Continues Threat: 17
Mutant Extremists Target U.S. Senators! Threat: 14
"
4557,,"LVO 2022

[Characters]
- Black Cat: 3
- Bullseye: 2
- Captain America Sam Wilson: 3
- Dormammu: 8
- Hulkbuster: 6
- Iron Fist: 3
- Iron Man: 3
- Luke Cage: 3
- Mystique: 3
- Okoye: 2

[Team Tactics]
- Avengers Assemble
- Brace for Impact
- Climbing Gear
- Dark Restoration
- Deception
- Helios Laser Bombardment
- Heroes For Hire
- Medpack
- Seeing Red
- Smash

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Skrulls Infiltrate World Leadership [C]: 17
- The Montesi Formula Found [E]: 17

[Secure Crises]
- Deadly Meteors Mutate Civilians [C]: 17
- Gamma Wave Sweeps Across Midwest [E]: 15
- Intrusions Open Across City As Seals Collapse [C]: 19
"
4555,"189,193","Corvus + R
Proxima
Hulk
Dwarf
Maw+Mind
Thor
Angela
Valk
Gamora
Toad

Mission O
Blood to spare
Medpack
Brace
Mothership
Sacrifice
Odins
Rainbow Bridge
Gamma launch
Extreme conditioning

Intrusions
Terrigen
Demons
Montessi
Worthy
Skrulls "
4555,301,"GR
Scarlett Witch
Strange
Blade
Hawkeye
Warmachine
Iron Fist
Cage
Moon Knight
Wong

Siege
Bats
No more mutants
H4H
Medpack
Brace
Kickem while they are Down
Deal with the devil
Heavy Ord
1-2p

Demons
Meteors
Gamma

Worthy
Montessi
Research "
4555,"187,183","Vegas WakaWaka 1.0

Characters 10:
Threat: 37
*Black Panther Threat: 4
Shuri Threat: 3
Okoye Threat: 2
Killmonger Threat: 4
Vision Threat: 4
*Captain America Sam Wilson Threat: 3
*Hulkbuster Threat: 6
Hulk Threat: 6
Black Cat Threat: 3
Nebula Threat: 2

Tactics 10:
Wakanda Forever
Field Dressing R
Usurp the Throne
Vibranium Shielding
Bird of Prey
Helios Laser Bombardment
Advanced R&D
One-Two Punch
Medpack R
Disarm

Secure Crisis:
S.W.O.R.D. Establishes Base on Moon's Blue Area Threat: 14
Gamma Wave Sweeps Across Midwest Threat: 15
Infinity Formula Goes Missing! Threat: 17

Extract Crisis:
Mystic Wakandan Herbs: Fact or Fiction? Threat: 15
Research Station Attacked! Threat: 16
The Montesi Formula Found Threat: 17
"
4555,195,"
Guardians

Characters 10:
Threat: 36
Angela Threat: 5
*Star-Lord Threat: 3
Rocket Raccoon Threat: 2
Groot Threat: 3
Gamora Threat: 4
Nebula Threat: 2
Ghost Rider Threat: 5
Hulk Threat: 6
Winter Soldier Threat: 3
Proxima Midnight Threat: 3

Tactics 10:
Bitter Rivals R
Crew of the Milano
Daughter of Thanos
Deadly Duo
Lovable Misfits
We Are Groot
Blind Obsession
Deal with the Devil
Disarm
Medpack R

Secure Crisis:
Infinity Formula Goes Missing! Threat: 17
Demons Downtown! Has Our Comeuppance Come Due? Threat: 19
Mutant Madman Turns City Center Into Lethal Amusement Park Threat: 18

Extract Crisis:
Spider-Infected Invade Manhattan Threat: 17
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
Struggle for the Cube Continues Threat: 17

"
4555,183,"[Characters]
- Black Cat: 3
- Black Widow: 2
- Bullseye: 2
- Captain America Sam Wilson: 3
- Ghost Rider: 5
- Hawkeye: 3
- Hulkbuster: 6
- Iron Fist: 3
- Mystique: 3
- Vision: 4

[Team Tactics]
- Avengers Assemble
- Climbing Gear
- Deal With The Devil
- Deception
- Disarm
- Field Dressing
- Follow Me
- Helios Laser Bombardment
- Heroes For Hire
- Patch Up

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Deadly Legacy Virus Cured? [C]: 19
- Struggle for the Cube Continues [F]: 17

[Secure Crises]
- Mutant Madman Turns City Center Into Lethal Amusement Park [B]: 18
- Portals Overrun City with Spider-People [D]: 18
- Riots Spark Over Extremis 3.0 [D]: 17
"
4555,"201,211","Kingpin
Voodoo
Black Cat
Mysterio
Crossbones
Good
Lizard
Luke Cage
Toad
Bullseye

All According To Plan
Medpack
Brace for Impact
Mission Objective
Warpath
Climbing Gear
Disarm
Sacrifice
The Grand Illusion
Heroes for Hire

Infinity Formula
Gamma Wave
Extremis Console

Wakandan Herbs
Research Base
Legacy Virus

Lots of Copium"
4555,"183,209","Characters 10:
Threat: 39
*Captain America Sam Wilson Threat: 3
Okoye Threat: 2
Iron Fist Threat: 3
Luke Cage Threat: 3
Iron Man Threat: 3
War Machine Threat: 3
Hulk Threat: 6
*Hulkbuster Threat: 6
*She-Hulk Threat: 6
Vision Threat: 4

Tactics 10:
Ricochet Blast
Field Dressing R
Avengers Assemble
Second Wind
Heroes for Hire
Advanced R&D
Helios Laser Bombardment
Gamma Launch
Medpack R
Bird of Prey

Secure Crisis:
Terrigen Clouds Sweep Over City Threat: 20
Riots Spark Over Extremis 3.0 Threat: 17
Portals Overrun City with Spider-People! Threat: 18

Extract Crisis:
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
Struggle for the Cube Continues Threat: 17
Research Station Attacked! Threat: 16"
4555,"183,193","Corvus glaive+reality stone
Proxima midnight
Black dwarf
Ebony maw& space stone
Thanos & power stone
Iron man
Hulk
Thor
Captain america
Black widow orig

Tactics
Patch up
Med pack
Heavy Firepower
Disarm
Seeing red
Tactical analysis
Smash
Avengers assemble 
Gamma launch
Blood to spare

Secure crisis
Deadly meteors mutate civilians
Riots spark extremis 3.0
Demons downtown has our comeuppance come due
Extraction crisis
Spider infected invade Manhattan 
Struggle for the cube continues
Deadly legacy virus cured?"
4555,"199,201","Foe Da Original

Characters 10:
Threat: 35
*Green Goblin Threat: 4
Doctor Octopus Threat: 3
Lizard Threat: 3
Mysterio Threat: 3
Kraven the Hunter Threat: 3
Venom Threat: 4
*Kingpin Threat: 4
*Star-Lord Power Threat: 4
Killmonger Threat: 4
Lockjaw Threat: 3

Tactics 10:
Sinister Traps
Well-Laid Plans
Usurp the Throne
Eyes on the Prize
Blind Obsession
Bitter Rivals R
Lethal Protector
Monkey Brain is Lizard Home
Grievous Wounds
Brace for Impact R

Secure Crisis:
Infinity Formula Goes Missing! Threat: 17
Mutant Madman Turns City Center Into Lethal Amusement Park Threat: 18
Riots Spark Over Extremis 3.0 Threat: 17

Extract Crisis:
Struggle for the Cube Continues Threat: 17
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
Spider-Infected Invade Manhattan Threat: 17
"
4555,195,"guardians of the fricken galaxy V3

Characters 10:
Threat: 34
*Star-Lord Threat: 3
Angela Threat: 5
Drax the Destroyer Threat: 3
Groot Threat: 3
Rocket Raccoon Threat: 2
Gamora Threat: 4
Okoye Threat: 2
Lizard Threat: 3
Deadpool Threat: 3
*Hulkbuster Threat: 6

Tactics 10:
Crew of the Milano
Deadly Duo
Lovable Misfits
Brace for Impact R
Blind Obsession
We Are Groot
Medpack R
X-Ceptional Healing
Climbing Gear
Helios Laser Bombardment

Secure Crisis:
Cosmic Invasion! Black Order Descends on Earth Threat: 16
Portals Overrun City with Spider-People! Threat: 18
Riots Spark Over Extremis 3.0 Threat: 17

Extract Crisis:
Spider-Infected Invade Manhattan Threat: 17
Struggle for the Cube Continues Threat: 17
Mutant Extremists Target U.S. Senators! Threat: 14
"
4555,195,"Guardians of The Galaxy LVO 2.0

Characters 10:
Threat: 33
*Star-Lord Threat: 3
Groot Threat: 3
Rocket Raccoon Threat: 2
Gamora Threat: 4
Angela Threat: 5
Toad Threat: 2
*Mystique Threat: 3
Nebula Threat: 2
*Hulkbuster Threat: 6
*Captain America Sam Wilson Threat: 3

Tactics 10:
Crew of the Milano
We Are Groot
Deadly Duo
Blind Obsession
Deception
Field Dressing R
Helios Laser Bombardment
Medpack R
Marked for Death
Sacrifice

Secure Crisis:
Riots Spark Over Extremis 3.0 Threat: 17
Portals Overrun City with Spider-People! Threat: 18
Cosmic Invasion! Black Order Descends on Earth Threat: 16

Extract Crisis:
Spider-Infected Invade Manhattan Threat: 17
Struggle for the Cube Continues Threat: 17
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
"
4555,183,"Sam Wilson
Iron fist
Luke cage
War machine
Okoye
Hulk
Bullseye
Nebula
2 pt widow
Baron zemo"
4555,"201,199","Kingpin
Green goblin
Taskmaster
Baron zemo
M.o.d.o.k
Doctor octopus
Black cat
Lizard
Mysterio
Bullseye"
4555,"185,201","Red skull
MODOK
Okoye
Enchantress 
Bullseye
Lizard
Kingpin
Vision
Hawkeye
Medpack
Cosmic invigoration 
Tactical analysis 
Mission objective
Marked for death
Sucker
Field dressing 
Dark reign
Brace for impact
Disarm
Riots spark over extremsis 3
Infinity formula goes missing
Mutant madman turns city center…
Struggle for cube continues
Fear grips world as worthy…
Spider infected invade Manhattan "
4555,199,"Green Goblin 
Venom 
Kraven the hunter
Lizard 
Carnage
Toad
Mysterio 
Black cat
Doctor octopus 
Ghost Rider
------------
Well Laid plans 
There will be Carnage
Monkey brain is lizard home
Carnage rules
Neogentic recombinator 
Sinister traps
The grand illusion 
Highway to hell 
Deal with the devil 
Lethal protector 
-----------------
Riots spark over extremis 3.0 
Infity formula goes missing 
Deadly meteors mutate civilians 

Skrulls infiltrate world leadership 
Spider-infected invade Manhattan 
Struggle for the cube continues "
4555,301,"Midnight Defenders

[Characters]
- Black Dwarf: 4
- Blade: 4
- Doctor Voodoo: 4
- Ghost Rider: 5
- Iron Fist: 3
- Luke Cage: 3
- Moon Knight: 3
- Shuri: 3
- Toad: 2
- Wong: 2

[Team Tactics]
- Brace for Impact
- Deal With The Devil
- Disarm
- Grievous Wounds
- Heroes For Hire
- Marked For Death
- Patch Up
- Sacrifice
- Seance
- Siege of Darkness

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Research Station Attacked! [E]: 16

[Secure Crises]
- Demons Downtown! Has Our Comeuppance Come Due? [E]: 19
- Gamma Wave Sweeps Across Midwest [E]: 15
- Terrigen Clouds Sweep Over City [C]: 20
"
4555,305,"LVO Wizards

[Characters]
- Ancient One: 4
- Angela: 5
- Baron Mordo: 3
- Baron Zemo: 3
- Bullseye: 2
- Doctor Strange, Sorcerer Supreme: 5
- Doctor Voodoo: 4
- Ebony Maw: 5
-- Infinity Gem: Space: 1
- Lizard: 3
- Venom: 4

[Team Tactics]
- Brace for Impact
- Eyes on the Prize
- Field Dressing
- Iron-Bound Books of Shuma-Gorath
- Lethal Protector
- Marked For Death
- Orb of Agamotto
- Plane of Pohldahk
- Shhh...
- The Bar With No Doors

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Research Station Attacked! [E]: 16

[Secure Crises]
- Demons Downtown! Has Our Comeuppance Come Due? [E]: 19
- Gamma Wave Sweeps Across Midwest [E]: 15
- Infinity Formula Goes Missing [B]: 17
"
4555,"209,183","[Characters]
- Black Widow: 2
- Captain America Sam Wilson: 3
- Captain America Steve Rogers: 4
- Hulk: 6
- Iron Fist: 3
- Lizard: 3
- Luke Cage: 3
- Okoye: 2
- She-Hulk: 6
- Vision: 4

[Team Tactics]
- Avengers Assemble
- Blind Obsession
- Climbing Gear
- Disarm
- Escort to Safety
- Field Dressing
- Heroes For Hire
- Medpack
- Mission Objective
- Sacrifice

[Extract Crises]
- Fear Grips World as ""Worthy"" Terrorize Cities [D]: 18
- Mystic Wakandan Herbs: Fact or Fiction? [A]: 15
- Research Station Attacked! [E]: 16

[Secure Crises]
- Gamma Wave Sweeps Across Midwest [E]: 15
- S.W.O.R.D. Establishes Base On Moon's Blue Area [C]: 14
- Terrigen Clouds Sweep Over City [C]: 20
"
4555,195,"Starlord
Rocket
Groot
Drax
Nebula
Angela
Winter Solider
Venom
Bullseye
Ghost Rider

Field Dressing
Brace for Impact
Deadly Duo
Loveable Misfits
Crew of the Milano
Blind Obsession
Deal With The Devil
Lethal Protector
Marked For Death
Sacrifice

17 Skrulls Infiltrate World Leadership
18 Fear Grips World As Worthy Terrorize Cities
16 Research Station Attacked!

15 Gamma Wave Sweeps Across Midwest
19 Demons Downtown! Has Our Comeuppance Come Due?
17 Infinity Formula Goes Missing"
4555,"193,183","Thanos / Mind Gem
Corvus / Reality Gem
Proxima Midnight
Sam Wilson
Iron Man
Iron Fist
Hawkeye
Black Widow
Scarlet Witch
Vision

Mothership
Execute 
Bitter Rivals
Bird of Prey
Ricochet Blast
Heroes for Hire
Marked For Death
Field Dressing
Avengers Assemble
Follow Me

Deadly Meteors 17C
SWORD Base 14C
Demons Downtown 19E

Alien Ship 20C
Wakanda Herb 15A
Skrulls 17C"
4555,213,"Cable. Brace 
Deadpool. Medpack 
Domino. Cat and mouse 
Bob. Xceptional healing 
Wolverine. Pretty sneaky sis 
Saber tooth. Weapon X program 
Cyclops. Yoink 
Winter soldier. Bitter rivals 
Beast. Chimichangas 
Zemo. Follow me 

Secure 
Sword base 
Mutant madman 
Infinity formula 

Extract 
Struggle for cube 
Deadly legacy virus 
Montessi formula."
4555,183,"Falcon

Characters 10:
Threat: 38
Ant-Man Threat: 3
*Cable Threat: 5
*Captain America Sam Wilson Threat: 3
*Hulkbuster Threat: 6
Iron Fist Threat: 3
Luke Cage Threat: 3
Black Widow Threat: 2
Vision Threat: 4
*Black Panther Threat: 4
Ghost Rider Threat: 5

Tactics 10:
Heroes for Hire
Avengers Assemble
Blind Obsession
Bird of Prey
Brace for Impact R
Medpack R
Mission Objective
Follow Me
Highway to Hell
Deal with the Devil

Secure Crisis:
Mutant Madman Turns City Center Into Lethal Amusement Park Threat: 18
Gamma Wave Sweeps Across Midwest Threat: 15
Infinity Formula Goes Missing! Threat: 17

Extract Crisis:
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
Mystic Wakandan Herbs: Fact or Fiction? Threat: 15
Research Station Attacked! Threat: 16
"
4555,183,"Hulk
Black Panther
Black Widow
Scarlet Witch
Captain Marvel
Captain America
Iron man
Hawk eye
Bulls Eye
Baron Zemo

Avengers Assemble
Med pack
No more Mutants
Ricochet Blast
Escort to Safety
Heavy Firepower
Brace for Impact
Second Wind
Mission Objective
Advanced R and D

Deadly meteors
Riots spark
Portals Overrun

Research Station
Minted I Formula
Fear grips 





"
4555,199,"Green goblin
Kingpin
Doctor octopus 
Kraven 
Lizard
Mysterio
Carnage 
Venom
Bullseye 
Nebula 

Tactics:
Sinister traps
Ned pack
Grand illusion 
Monkey brain lizard home 
Neogenetic recombinator 
Lethal protector
Fearful symmetry 
Well laid plans
Carnage rules

Secure:
Riot sparks 
Cosmic invasion 
Infinity formula 

Extract:
Senators
Spider infected 
Struggle for cube"
4555,201,"CS LVO v1

Characters 10:
Threat: 30
Lizard Threat: 3
Black Cat Threat: 3
Bullseye Threat: 2
Mysterio Threat: 3
*Kingpin Threat: 4
Hood Threat: 3
Iron Fist Threat: 3
Toad Threat: 2
Omega Red Threat: 4
Baron Zemo Threat: 3

Tactics 10:
Medpack R
All According to Plan
The Grand Illusion
Climbing Gear
Sacrifice
Advanced R&D
Field Dressing R
Monkey Brain is Lizard Home
Heroes for Hire
Hood's Gang

Secure Crisis:
Terrigen Clouds Sweep Over City Threat: 20
Gamma Wave Sweeps Across Midwest Threat: 15
Mayor Fisk Vows to Find Missing Witnesses Threat: 16

Extract Crisis:
Deadly Legacy Virus Cured? Threat: 19
Struggle for the Cube Continues Threat: 17
Research Station Attacked! Threat: 16
"
4555,"183,303","LVO 2022

[Characters]
- Baron Mordo: 3
- Bullseye: 2
- Captain America Sam Wilson: 3
- Dormammu: 8
- Hood: 3
- Hulkbuster: 6
- Iron Fist: 3
- Luke Cage: 3
- Mystique: 3
- Okoye: 2

[Team Tactics]
- Avengers Assemble
- Brace for Impact
- Climbing Gear
- Dark Restoration
- Deception
- Helios Laser Bombardment
- Heroes For Hire
- Patch Up
- Red Room Training
- Smash

[Extract Crises]
- Alien Ship Crashes in Downtown! [C]: 20
- Research Station Attacked! [E]: 16
- Skrulls Infiltrate World Leadership [C]: 17

[Secure Crises]
- Deadly Meteors Mutate Civilians [C]: 17
- Gamma Wave Sweeps Across Midwest [E]: 15
- S.W.O.R.D. Establishes Base On Moon's Blue Area [C]: 14
"
4555,305,"Convocation

Characters 10:
Threat: 36
Doctor Strange, Sorcerer Supreme Threat: 5
Ancient One Threat: 4
Doctor Voodoo Threat: 4
Baron Mordo Threat: 3
Ebony Maw Threat: 5
Hood Threat: 3
Baron Zemo Threat: 3
Loki, God of Mischief Threat: 4
Bullseye Threat: 2
Clea Threat: 3

Tactics 10:
Astral Ring
Iron-Bound Books of Shuma-Gorath
Plane of Pohldahk
The Bar with No Doors
Book of Cagliostro
Disarm
Bitter Rivals R
Eyes on the Prize
Field Dressing R
Orb of Agamotto

Secure Crisis:
Demons Downtown! Has Our Comeuppance Come Due? Threat: 19
Terrigen Clouds Sweep Over City Threat: 20
Intrusions Open Across City as Seals Collapse Threat: 19

Extract Crisis:
Alien Ship Crashes in Downtown! Threat: 20
Skrulls Infiltrate World Leadership Threat: 17
Fear Grips World as ""Worthy"" Terrorize Cities Threat: 18
"
